geoid,name,year,median_rent,median_income,total_population,total_housing_units,pct_white_nonhisp,pct_poverty,total_bike_length_m,bike_length_km,tract_area_km2,pop_density
17031825000,"Census Tract 8250, Cook County, Illinois",2016,792,60625,4982,2059,0.7406663990365315,0.11843168957154405,0,0,5.98799469761875,831.9980647246057
17031825000,Census Tract 8250; Cook County; Illinois,2022,995,69591,4401,1942,0.5476028175414679,0.029143897996357013,0,0,5.98799469761875,734.9705906971075
17031825200,"Census Tract 8252, Cook County, Illinois",2012,2001,58681,1881,638,0.6018075491759702,0.09546666666666667,0,0,2.3953552856852642,785.2697306495319
17031825200,"Census Tract 8252, Cook County, Illinois",2016,1463,65806,1964,686,0.5575356415478615,0.029789419619928096,0,0,2.3953552856852642,819.9201228047212
17031825200,Census Tract 8252; Cook County; Illinois,2022,2085,83846,1921,738,0.4279021343050495,0.1059255374934452,0,0,2.3953552856852642,801.9687148207075
17031825302,"Census Tract 8253.02, Cook County, Illinois",2012,971,66832,5850,2399,0.8194871794871795,0.11309115832762166,0,0,5.822320019406753,1004.754115284111
17031825302,"Census Tract 8253.02, Cook County, Illinois",2016,1094,60643,6078,2457,0.6676538334978611,0.08586025049439684,0,0,5.822320019406753,1043.9137628541584
17031825302,Census Tract 8253.02; Cook County; Illinois,2022,1219,101429,5472,2323,0.7317251461988304,0.0581140350877193,0,0,5.822320019406753,939.8315416811377
17031825303,"Census Tract 8253.03, Cook County, Illinois",2012,1026,69227,3835,1758,0.8294654498044328,0.11003911342894394,0,0,1.9334896713644394,1983.460298132179
17031825303,"Census Tract 8253.03, Cook County, Illinois",2016,1124,61730,4071,1744,0.8508965856055023,0.159174649963154,0,0,1.9334896713644394,2105.5193934018516
17031825303,Census Tract 8253.03; Cook County; Illinois,2022,1279,78814,3995,1720,0.7178973717146433,0.11289111389236546,0,0,1.9334896713644394,2066.2122271285675
17031825304,"Census Tract 8253.04, Cook County, Illinois",2012,918,71307,4080,1662,0.8264705882352941,0.058823529411764705,0,0,2.3332516309339106,1748.6326574930683
17031825304,"Census Tract 8253.04, Cook County, Illinois",2016,987,76156,4316,1613,0.8208989805375347,0.06111499883368323,0,0,2.3332516309339106,1849.7790563088438
